,Cluster,State,Type,Total GDP (USD B),Depth RP50 (m),Damage factor,Exposed GDP – Present (USD B),Exposure share (%),Depth 2050 RCP8.5 (m),Damage factor 2050,Exposed GDP – 2050 (USD B),Δ Exposed (USD B),id,lat,lon,coastal,note
1,Port Klang Free Zone,Selangor,Logistics / Port,50.0,2.4,0.9,45.0,90.0,3.12,0.9,45.0,0.0,port_klang,2.998,101.392,True,Malaysia's busiest port; coastal + tidal + Sg Klang riverine; highest absolute exposed GDP in the portfolio
2,Shah Alam / Klang Valley Belt,Selangor,Mixed heavy/light industry,42.5,3.5,0.9,38.2,90.0,4.55,0.9,38.2,0.0,shah_alam,3.05,101.52,False,Sg Klang riverine; recurrent annual flash floods; largest manufacturing belt by employment and output
3,Gebeng / Kuantan Industrial Estate,Pahang,Petrochem (ECER),24.0,3.8,0.9,21.6,90.0,4.94,0.9,21.6,0.0,gebeng,3.97,103.38,True,East-coast NE Monsoon (Nov-Mar); highest exposure share; global rasters under-resolve monsoon events — urgent: obtain DID data
4,Pasir Gudang FIZ + Tg Langsat,Johor,Petrochem / Heavy / Oil terminal,30.0,1.0,0.65,19.5,65.0,1.3,0.65,19.5,0.0,pasir_gudang,1.471,103.901,True,Coastal + estuary; petrochemical storage + refinery; spill risk multiplies economic consequence of flooding
5,Kerteh Petrochemical Complex,Terengganu,Oil & Gas / Petrochem,21.5,2.5,0.9,19.4,90.0,3.25,0.9,19.4,0.0,kerteh,4.52,103.45,True,East-coast NE Monsoon; PETRONAS upstream + downstream; deepest flood depth and highest exposure share in portfolio
6,Port of Tanjung Pelepas (PTP),Johor,Port / Logistics,25.0,1.0,0.65,16.2,65.0,1.3,0.65,16.2,0.0,ptp,1.363,103.546,True,Major transhipment hub; coastal tidal; projected jump to 90% damage band under 2050 SLR (+USD 6.2B)
7,Perai (Prai) FIZ,Pulau Pinang,Manufacturing / E&E,12.5,2.5,0.9,11.2,90.0,3.25,0.9,11.2,0.0,perai_fiz,5.3646,100.3962,True,Sg Perai riverine + coastal; mixed manufacturing corridor
8,PETRONAS LNG Complex Bintulu (MLNG),Sarawak,LNG / Oil & Gas / Petrochemical,12.0,2.8,0.9,10.8,90.0,3.64,0.9,10.8,0.0,mlng_bintulu,3.215,113.085,True,One of world's largest LNG export facilities; coastal at Tanjung Kidurong; Sarawak's highest-value single industrial site
9,Bayan Lepas FIZ,Pulau Pinang,E&E / Semiconductor,27.5,0.8,0.35,9.6,35.0,1.04,0.65,17.9,8.3,bayan_lepas,5.3006,100.29,True,Reclaimed coastal land; pluvial + coastal surge risk; highest E&E export concentration in Malaysia
10,Batu Berendam FTZ,Melaka,Trade / Logistics / Aerospace MRO,6.5,2.8,0.9,5.9,90.0,3.64,0.9,5.9,0.0,batu_berendam,2.261,102.267,True,Riverine + coastal; aerospace MRO cluster
11,Kulim Hi-Tech Park,Kedah,Hi-tech manufacturing,15.0,0.8,0.35,5.2,35.0,1.04,0.65,9.8,4.5,kulim_htp,5.38,100.56,False,Inland riverine; semiconductor wafer fabs; shifts to higher damage band by 2050 (worst-case Δ in portfolio)
12,Samalaju Industrial Park,Sarawak,Heavy industry (SCORE) / Aluminium / Ferrosilicon,4.5,2.2,0.9,4.0,90.0,2.86,0.9,4.0,0.0,samalaju,2.855,113.043,True,SCORE corridor; aluminium smelting (Press Metal) + ferrosilicon; coastal estuarine; JRC RP50 shows significant river-adjacent flooding
13,Sipitang Oil & Gas Industrial Park,Sabah,Oil & Gas / Methanol / Ammonia,3.0,1.6,0.65,2.0,65.0,2.08,0.9,2.7,0.8,sipitang_sogip,5.085,115.56,True,PETRONAS methanol & ammonia complex; coastal Brunei Bay; NE Monsoon + estuary flooding risk
